,exp,hp,meta,mean,std,dist,upper,lower
739,Co-Training<br>Data,-0.1,weightedtau,-0.035420663949000473,0.1868766730722249,FED,0.15145600912322443,-0.2222973370212254
108,Augmentation<br>Policy,-0.1,regret,0.16408561836842644,0.1516772052505366,FID,0.315762823618963,0.012408413117889844
2086,Model<br>Architecture,-0.1,gain,0.6511627906976744,0.368380936482719,VDNA-PP:NN-1000-BINS,1.0195437271803933,0.28278185421495533
1998,Model<br>Architecture,-0.1,regret,0.18687420232948376,0.1632353157839339,SEMANTIC,0.3501095181134177,0.023638886545549853
2085,Model<br>Architecture,-0.1,delta,-0.0009983342901372714,0.044110849613229246,VDNA-PP:NN-1000-BINS,0.043112515323091974,-0.04510918390336652
469,Augmentation<br>Policy,-0.1,weightedtau,0.1569318816413437,0.2081336861344228,KLD-PP:NS-W:TS-100-BINS,0.3650655677757665,-0.051201804493079095
2536,Pretraining<br>Data,-0.1,gain,0.2635658914728682,0.37264740582927375,KLD-PP:NS-W:SN-1000-BINS,0.6362132973021419,-0.10908151435640556
2535,Pretraining<br>Data,-0.1,delta,-0.016746567470774784,0.03223041586228949,KLD-PP:NS-W:SN-1000-BINS,0.015483848391514704,-0.04897698333306427
1728,Model<br>Architecture,-0.1,regret,0.20912618482883566,0.19766535029984522,KLD-PP:NS-1000-BINS,0.4067915351286809,0.011460834528990438
1727,Model<br>Architecture,-0.1,rank,0.4780286955585934,0.166896369233561,KLD-PP:NS-1000-BINS,0.6449250647921544,0.3111323263250324
109,Augmentation<br>Policy,-0.1,weightedtau,0.012449668902726583,0.204284907803491,FID,0.2167345767062176,-0.19183523890076443
1726,Model<br>Architecture,-0.1,gain,0.6472868217054264,0.39722781584438244,KLD-PP:NS-1000-BINS,1.0445146375498089,0.25005900586104396
1189,Co-Training<br>Data,-0.1,weightedtau,-0.00804358281451357,0.19352803711901992,KLD-PP:NS-W:TS-100-BINS,0.18548445430450636,-0.20157161993353348
1188,Co-Training<br>Data,-0.1,regret,0.17588119921179102,0.17017151641743727,KLD-PP:NS-W:TS-100-BINS,0.3460527156292283,0.005709682794353743
1187,Co-Training<br>Data,-0.1,rank,0.5158453882391333,0.21185147995845663,KLD-PP:NS-W:TS-100-BINS,0.7276968681975899,0.30399390828067663
1186,Co-Training<br>Data,-0.1,gain,0.6472868217054263,0.3769663952803945,KLD-PP:NS-W:TS-100-BINS,1.0242532169858207,0.2703204264250318
1185,Co-Training<br>Data,-0.1,delta,0.009381655959811948,0.038508359159932525,KLD-PP:NS-W:TS-100-BINS,0.04789001511974447,-0.029126703200120577
